Code,Name,Industry
000776.SZ,广发证券,非银金融
000777.SZ,中核科技,机械设备
000778.SZ,新兴铸管,钢铁
000779.SZ,三毛派神,纺织服装
000780.SZ,平庄能源,采掘
000782.SZ,美达股份,化工
000783.SZ,长江证券,非银金融
000785.SZ,武汉中商,商业贸易
000786.SZ,北新建材,建筑材料
000788.SZ,北大医药,医药生物
000789.SZ,万年青,建筑材料
000790.SZ,泰合健康,医药生物
000791.SZ,甘肃电投,公用事业
000792.SZ,盐湖股份,化工
000793.SZ,华闻传媒,传媒
000795.SZ,英洛华,有色金属
000796.SZ,凯撒旅游,休闲服务
000797.SZ,中国武夷,房地产
000798.SZ,中水渔业,农林牧渔
000799.SZ,酒鬼酒,食品饮料
000800.SZ,一汽轿车,汽车
000801.SZ,四川九洲,家用电器
000802.SZ,北京文化,传媒
000803.SZ,*ST金宇,房地产
000806.SZ,银河生物,电气设备
000807.SZ,云铝股份,有色金属
000809.SZ,铁岭新城,房地产
000810.SZ,创维数字,家用电器
000811.SZ,冰轮环境,机械设备
000812.SZ,陕西金叶,轻工制造
000813.SZ,德展健康,医药生物
000815.SZ,美利云,轻工制造
000816.SZ,*ST慧业,机械设备
000818.SZ,航锦科技,化工
000819.SZ,岳阳兴长,化工
000820.SZ,神雾节能,公用事业
000821.SZ,京山轻机,机械设备
000822.SZ,山东海化,化工
000823.SZ,超声电子,电子
000825.SZ,太钢不锈,钢铁
000826.SZ,启迪桑德,公用事业
000828.SZ,东莞控股,交通运输
000829.SZ,天音控股,商业贸易
000830.SZ,鲁西化工,化工
000831.SZ,五矿稀土,有色金属
000833.SZ,粤桂股份,综合
000835.SZ,长城动漫,传媒
000836.SZ,鑫茂科技,通信
000837.SZ,秦川机床,机械设备
000838.SZ,财信发展,房地产
000839.SZ,中信国安,综合
000848.SZ,承德露露,食品饮料
000850.SZ,华茂股份,纺织服装
000851.SZ,高鸿股份,通信
000852.SZ,石化机械,机械设备
000856.SZ,冀东装备,机械设备
000858.SZ,五粮液,食品饮料
000859.SZ,国风塑业,化工
000860.SZ,顺鑫农业,食品饮料
000861.SZ,海印股份,商业贸易
000862.SZ,银星能源,公用事业
000863.SZ,三湘印象,休闲服务
000868.SZ,安凯客车,汽车
000869.SZ,张裕A,食品饮料
000875.SZ,吉电股份,公用事业
000876.SZ,新希望,农林牧渔
000877.SZ,天山股份,建筑材料
000878.SZ,云南铜业,有色金属
000880.SZ,潍柴重机,机械设备
000881.SZ,中广核技,综合
000882.SZ,华联股份,商业贸易
000883.SZ,湖北能源,公用事业
000885.SZ,同力水泥,建筑材料
000886.SZ,海南高速,交通运输
000887.SZ,中鼎股份,汽车
000888.SZ,峨眉山A,休闲服务
000889.SZ,茂业通信,通信
000890.SZ,法尔胜,机械设备
000892.SZ,欢瑞世纪,传媒
000893.SZ,*ST东凌,农林牧渔
000895.SZ,双汇发展,食品饮料
000897.SZ,津滨发展,房地产
000898.SZ,鞍钢股份,钢铁
000899.SZ,赣能股份,公用事业
000900.SZ,现代投资,交通运输
000901.SZ,航天科技,机械设备
000902.SZ,新洋丰,化工
000903.SZ,云内动力,汽车
000905.SZ,厦门港务,交通运输
000906.SZ,浙商中拓,商业贸易
000908.SZ,景峰医药,医药生物
000909.SZ,数源科技,房地产
000910.SZ,大亚圣象,轻工制造
000911.SZ,南宁糖业,农林牧渔
000912.SZ,*ST天化,化工
000913.SZ,钱江摩托,汽车
000915.SZ,山大华特,医药生物
000917.SZ,电广传媒,传媒
000918.SZ,嘉凯城,房地产
000919.SZ,金陵药业,医药生物
000920.SZ,南方汇通,公用事业
000921.SZ,海信科龙,家用电器
000922.SZ,*ST佳电,电气设备
000923.SZ,河北宣工,机械设备
000925.SZ,众合科技,机械设备
000926.SZ,福星股份,房地产
000927.SZ,一汽夏利,汽车
000928.SZ,中钢国际,建筑装饰
000929.SZ,兰州黄河,食品饮料
000930.SZ,中粮生化,农林牧渔
000931.SZ,中关村,综合
000932.SZ,华菱钢铁,钢铁
000933.SZ,神火股份,有色金属
000935.SZ,四川双马,建筑材料
000936.SZ,华西股份,化工
000937.SZ,冀中能源,采掘
000938.SZ,紫光股份,计算机
000939.SZ,*ST凯迪,公用事业
000948.SZ,南天信息,计算机
000949.SZ,新乡化纤,化工
000950.SZ,重药控股,化工
000951.SZ,中国重汽,汽车
000952.SZ,广济药业,医药生物
000953.SZ,ST河化,化工
000955.SZ,欣龙控股,纺织服装
000957.SZ,中通客车,汽车
000958.SZ,东方能源,公用事业
000959.SZ,首钢股份,钢铁
000960.SZ,锡业股份,有色金属
000961.SZ,中南建设,房地产
000962.SZ,东方钽业,有色金属
000963.SZ,华东医药,医药生物
000965.SZ,天保基建,房地产
000966.SZ,长源电力,公用事业
000967.SZ,盈峰环境,公用事业
000968.SZ,蓝焰控股,采掘
000969.SZ,安泰科技,有色金属
000970.SZ,中科三环,有色金属
000971.SZ,高升控股,通信
000972.SZ,*ST中基,农林牧渔
000973.SZ,佛塑科技,化工
000975.SZ,银泰资源,有色金属
000976.SZ,华铁股份,机械设备
000977.SZ,浪潮信息,计算机
000978.SZ,桂林旅游,休闲服务
000979.SZ,中弘股份,房地产
000980.SZ,众泰汽车,汽车
000981.SZ,银亿股份,房地产
000982.SZ,*ST中绒,纺织服装
000983.SZ,西山煤电,采掘
000985.SZ,大庆华科,化工
000987.SZ,越秀金控,非银金融
000988.SZ,华工科技,电子
000989.SZ,九芝堂,医药生物
000990.SZ,诚志股份,化工
000993.SZ,闽东电力,综合
000995.SZ,*ST皇台,食品饮料
000996.SZ,中国中期,汽车
000997.SZ,新大陆,计算机
000998.SZ,隆平高科,农林牧渔
000999.SZ,华润三九,医药生物
001696.SZ,宗申动力,汽车
001896.SZ,豫能控股,公用事业
001965.SZ,招商公路,交通运输
001979.SZ,招商蛇口,房地产
002001.SZ,新和成,医药生物
002002.SZ,鸿达兴业,化工
002003.SZ,伟星股份,纺织服装
002004.SZ,华邦健康,化工
002005.SZ,德豪润达,电子
002006.SZ,精功科技,机械设备
002007.SZ,华兰生物,医药生物
002008.SZ,大族激光,电子
002009.SZ,天奇股份,机械设备
002010.SZ,传化智联,交通运输
002011.SZ,盾安环境,家用电器
002012.SZ,凯恩股份,轻工制造
002013.SZ,中航机电,国防军工
002014.SZ,永新股份,轻工制造
002015.SZ,霞客环保,化工
002016.SZ,世荣兆业,房地产
002017.SZ,东信和平,通信
002018.SZ,*ST华信,综合
002019.SZ,亿帆医药,医药生物
002020.SZ,京新药业,医药生物
002021.SZ,中捷资源,机械设备
002022.SZ,科华生物,医药生物
002023.SZ,海特高新,国防军工
002024.SZ,苏宁易购,商业贸易
002025.SZ,航天电器,电子
002026.SZ,山东威达,机械设备
002027.SZ,分众传媒,传媒
002028.SZ,思源电气,电气设备
002029.SZ,七匹狼,纺织服装
002030.SZ,达安基因,医药生物
002031.SZ,巨轮智能,机械设备
002032.SZ,苏泊尔,家用电器
002033.SZ,丽江旅游,休闲服务
002034.SZ,旺能环境,纺织服装
002035.SZ,华帝股份,家用电器
002036.SZ,联创电子,电子
002037.SZ,久联发展,化工
002038.SZ,双鹭药业,医药生物
002039.SZ,黔源电力,公用事业
002040.SZ,南京港,交通运输
002041.SZ,登海种业,农林牧渔
002042.SZ,华孚时尚,纺织服装
002043.SZ,兔宝宝,建筑材料
002044.SZ,美年健康,医药生物
002045.SZ,国光电器,电子
002046.SZ,轴研科技,机械设备
002047.SZ,宝鹰股份,建筑装饰
002048.SZ,宁波华翔,汽车
002049.SZ,紫光国微,电子
002050.SZ,三花智控,家用电器
002051.SZ,中工国际,建筑装饰
002052.SZ,同洲电子,家用电器
002053.SZ,云南能投,化工
002054.SZ,德美化工,化工
002055.SZ,得润电子,电子
002056.SZ,横店东磁,电子
002057.SZ,中钢天源,有色金属
002058.SZ,威尔泰,电气设备
002059.SZ,云南旅游,休闲服务
002060.SZ,粤水电,建筑装饰
002061.SZ,浙江交科,建筑装饰
002062.SZ,宏润建设,建筑装饰
002063.SZ,远光软件,计算机
002064.SZ,华峰氨纶,化工
002065.SZ,东华软件,计算机
002066.SZ,瑞泰科技,建筑材料
002067.SZ,景兴纸业,轻工制造
002068.SZ,黑猫股份,化工
002069.SZ,獐子岛,农林牧渔
002070.SZ,*ST众和,有色金属
002071.SZ,长城影视,传媒
002072.SZ,凯瑞德,计算机
002073.SZ,软控股份,机械设备
002074.SZ,国轩高科,电气设备
002075.SZ,沙钢股份,钢铁
002076.SZ,雪莱特,电子
002077.SZ,大港股份,电子
002078.SZ,太阳纸业,轻工制造
