Code,Name,Industry,Weight
603077.SH,和邦生物,化工,0.27
603169.SH,兰石重装,机械设备,0.07
603188.SH,ST亚邦,化工,0.13
603198.SH,迎驾贡酒,食品饮料,0.13
603225.SH,新凤鸣,化工,0.07
603228.SH,景旺电子,电子,0.13
603328.SH,依顿电子,电子,0.1
603355.SH,莱克电气,家用电器,0.07
603369.SH,今世缘,食品饮料,0.28
603377.SH,东方时尚,汽车,0.07
603444.SH,吉比特,传媒,0.1
603515.SH,欧普照明,电子,0.15
603556.SH,海兴电力,机械设备,0.1
603568.SH,伟明环保,公用事业,0.1
603569.SH,长久物流,交通运输,0.03
603589.SH,口子窖,食品饮料,0.46
603658.SH,安图生物,医药生物,0.17
603659.SH,璞泰来,电子,0.1
603766.SH,隆鑫通用,汽车,0.17
603806.SH,福斯特,电气设备,0.06
603816.SH,顾家家居,轻工制造,0.24
603868.SH,飞科电器,家用电器,0.08
603877.SH,太平鸟,纺织服装,0.05
603883.SH,老百姓,医药生物,0.18
603885.SH,吉祥航空,交通运输,0.21
603888.SH,新华网,传媒,0.1
603899.SH,晨光文具,轻工制造,0.23
,,,
数据来源：Wind,,,
